CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AGE_YEARS,YEARS_EMPLOYED,CNT_FAM_MEMBERS,STATUS
M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,33.0,12.0,2.0,1
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,59.0,3.0,2.0,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.0,8.0,1.0,0
F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,62.0,0.0,1.0,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.0,2.0,2.0,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,3.0,2.0,0
F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.0,3.0,2.0,1
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,2.0,1
F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30.0,4.0,2.0,0
M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,5.0,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.0,6.0,3.0,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,12.0,2.0,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,9.0,4.0,0
F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.0,19.0,3.0,0
M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.0,15.0,2.0,1
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,4.0,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,5.0,4.0,1
F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.0,0.0,1.0,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,1.0,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43.0,9.0,1.0,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,43.0,9.0,1.0,1
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,2.0,1
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,13.0,2.0,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,4.0,2.0,0
M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,8.0,3.0,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,2.0,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,2.0,2.0,1
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,2.0,2.0,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2.0,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2.0,1
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,7.0,2.0,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1.0,0
F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29.0,2.0,2.0,0
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,2.0,2.0,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,17.0,2.0,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.0,9.0,4.0,0
F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,30.0,2.0,0
F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,2.0,1
F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,2.0,0
F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,29.0,3.0,1.0,0
