CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AGE_YEARS,YEARS_EMPLOYED,CNT_FAM_MEMBERS,STATUS
1,1,1,0,427500.0,4,1,0,4,33.0,12.0,2.0,1
1,1,1,0,112500.0,4,4,1,1,59.0,3.0,2.0,0
0,0,1,0,270000.0,0,4,3,1,52.0,8.0,1.0,0
0,0,1,0,283500.0,1,1,2,1,62.0,0.0,1.0,0
1,1,1,0,270000.0,4,1,1,1,46.0,2.0,2.0,0
1,1,1,0,135000.0,0,4,1,1,49.0,3.0,2.0,0
0,1,0,0,130500.0,4,2,1,1,29.0,3.0,2.0,1
0,0,1,0,157500.0,4,4,1,1,27.0,4.0,2.0,1
0,0,1,1,112500.0,4,4,3,1,30.0,4.0,2.0,0
1,1,1,3,270000.0,4,4,1,1,35.0,3.0,5.0,0
1,0,1,1,405000.0,0,1,1,1,32.0,6.0,3.0,0
1,1,1,0,112500.0,0,4,1,1,56.0,12.0,2.0,0
0,1,1,2,135000.0,4,4,1,1,43.0,9.0,4.0,0
0,0,1,1,211500.0,2,4,0,1,44.0,19.0,3.0,0
1,1,1,0,360000.0,0,4,1,1,46.0,15.0,2.0,1
0,0,1,2,126000.0,0,1,1,1,34.0,5.0,4.0,0
0,0,1,2,126000.0,0,1,1,1,34.0,5.0,4.0,1
0,0,1,0,315000.0,1,4,4,1,55.0,0.0,1.0,0
0,0,1,0,247500.0,0,1,2,4,47.0,4.0,1.0,0
0,0,1,0,297000.0,0,4,3,4,43.0,9.0,1.0,0
0,0,1,0,297000.0,0,4,3,4,43.0,9.0,1.0,1
0,0,0,0,157500.0,0,1,1,1,37.0,13.0,2.0,1
0,0,0,0,157500.0,0,1,1,1,37.0,13.0,2.0,0
1,0,1,0,135000.0,4,4,1,1,42.0,4.0,2.0,0
1,0,1,1,225000.0,4,4,1,1,28.0,8.0,3.0,0
0,1,1,0,135000.0,4,4,1,1,49.0,5.0,2.0,0
1,0,1,0,157500.0,4,4,1,1,44.0,2.0,2.0,1
1,0,1,0,157500.0,4,4,1,1,44.0,2.0,2.0,0
0,0,1,0,112500.0,1,4,1,1,61.0,0.0,2.0,0
0,0,1,0,112500.0,1,4,1,1,61.0,0.0,2.0,1
1,1,1,0,112500.0,2,4,1,1,57.0,7.0,2.0,0
0,1,1,0,270000.0,4,4,2,1,45.0,3.0,1.0,0
0,1,1,0,270000.0,4,1,1,1,29.0,2.0,2.0,0
1,1,1,0,157500.0,4,4,1,1,27.0,2.0,2.0,0
1,0,1,0,166500.0,4,4,1,1,52.0,17.0,2.0,0
0,0,1,2,216000.0,2,1,1,1,42.0,9.0,4.0,0
0,1,1,0,270000.0,0,4,1,1,54.0,30.0,2.0,0
0,1,1,0,225000.0,0,4,1,1,40.0,8.0,2.0,1
0,1,1,0,225000.0,0,4,1,1,40.0,8.0,2.0,0
0,0,1,0,315000.0,4,4,3,1,29.0,3.0,1.0,0
0,0,0,0,255150.0,1,2,0,4,51.0,0.0,2.0,0
0,0,1,2,157500.0,4,4,3,1,39.0,2.0,3.0,0
0,0,1,0,148500.0,4,1,1,1,48.0,2.0,2.0,0
0,0,1,0,148500.0,4,1,1,1,48.0,2.0,2.0,1
0,0,1,2,202500.0,4,1,1,1,30.0,6.0,4.0,0
0,0,1,2,202500.0,4,1,1,1,30.0,6.0,4.0,1
1,0,1,0,202500.0,4,4,3,1,24.0,2.0,1.0,0
0,1,1,0,112500.0,0,4,3,1,21.0,2.0,1.0,0
0,0,1,0,94500.0,1,1,1,1,61.0,0.0,2.0,0
1,1,1,0,315000.0,4,4,0,1,29.0,6.0,2.0,0
0,1,1,0,270000.0,0,2,0,2,28.0,9.0,2.0,0
0,1,1,1,450000.0,2,1,1,1,49.0,2.0,3.0,0
1,0,1,1,180000.0,4,4,1,5,39.0,4.0,3.0,0
0,0,1,0,112500.0,4,1,0,1,28.0,9.0,2.0,0
0,0,1,0,112500.0,4,1,0,1,28.0,9.0,2.0,1
